Site,xcoord,ycoord,Hab_Status,Shape_Area
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,11700
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,6300
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,2700
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,19800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,10800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,14400
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,4500
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,6300
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,8100
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,6300
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,2700
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,40500
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,6300
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,5400
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,10800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,6300
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,5400
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,26100
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,4500
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,9000
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,13500
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,4500
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,7200
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,3600
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,8100
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,19800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,6300
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,572400
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,2700
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,28800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,9000
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,11700
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,7200
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,5400
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,4500
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,7200
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,488700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,4500
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,12600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,20700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,8100
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,22500
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,2700
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,5400
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,7200
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,5400
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,8100
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,4500
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,3600
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,2700
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,1800
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,3600
WM-11,-156.639662808723,21.013237188543,Bare < 5% plant cover,900
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,1800
WM-11,-156.639662808723,21.013237188543,Native / Alien Mix,4500
WM-11,-156.639662808723,21.013237188543,Heavily Disturbed,900
